,Year,Type,Country,Area,Location,Activity,Injury,Time
843,2011.0,Unprovoked,USA,Florida,"Off Jupiter Inlet, Palm Beach County",swimming,Lacerations to right calf,12:00 - 14:59
846,2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Puncture wound to calf,12:00 - 14:59
848,2011.0,Unprovoked,USA,Texas,"Follett's Island, Brazoria County",playing,Lacerations & punctures to right thigh ,15:00 - 17:59
850,2011.0,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",surfing,"No injury, board bitten",12:00 - 14:59
851,2011.0,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",surfing,"No injury, board bitten",12:00 - 14:59
853,2011.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",surfing,Lacerations to left foot & ankle,15:00 - 17:59
854,2011.0,Unprovoked,NEW CALEDONIA,North Province,Kendec,surfing,"Thigh bitten, FATAL",09:00 - 11:59
855,2011.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,Minor injury; puncture wounds to calf,06:00 - 08:59
860,2011.0,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,fishing,Heel bitten,15:00 - 17:59
861,2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor puncture wounds,15:00 - 17:59
862,2011.0,Unprovoked,NEW ZEALAND,South Island,Snapper Point,surfing,Puncture to left hand,12:00 - 14:59
863,2011.0,Unprovoked,INDONESIA,Bali,Balian,surfing,Lacerations to forearm,06:00 - 08:59
864,2011.0,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",swimming,Minor injuries to left leg and hand,12:00 - 14:59
867,2011.0,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,surfing,Severe injury to left forearm,15:00 - 17:59
869,2011.0,Unprovoked,FIJI,,Nukudamu ,swimming,"Left forearm severely bitten, surgically amputated",15:00 - 17:59
870,2011.0,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",surfing,"Severe injuries to head, neck, shoulder & upper left arm",12:00 - 14:59
874,2011.0,Unprovoked,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouvéa",fishing,Lacerations to left forearm,12:00 - 14:59
875,2011.0,Unprovoked,REUNION,Saint Gilles ,Trois-Roches,surfing,Left leg severed at the knee,18:00 - 20:59
876,2011.0,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,swimming,FATAL,18:00 - 20:59
878,2011.0,Unprovoked,AUSTRALIA,Western Australia,Exmouth,swimming,Arm bitten,15:00 - 17:59
881,2011.0,Unprovoked,MEXICO,Quintana Roo,Cancun,swimming,"Leg, forearm & hand severely bitten",12:00 - 14:59
883,2011.0,Unprovoked,BAHAMAS,West End,Tiger Beach,swimming,Arm bitten ,15:00 - 17:59
885,2011.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",surfing,FATAL,12:00 - 14:59
888,2010.0,Unprovoked,USA,Hawaii," Kahului, Maui",surfing,"Lacerations to his lower left leg, calf, foot & ankle",15:00 - 17:59
890,2010.0,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",surfing,Lacerations to right foot,12:00 - 14:59
891,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",swimming,FATAL,12:00 - 14:59
893,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",swimming,Both arms severely bitten,09:00 - 11:59
894,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",swimming,Lacerations to right leg,09:00 - 11:59
895,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",swimming,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",12:00 - 14:59
896,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",swimming,Foot and arm bitten,12:00 - 14:59
900,2010.0,Unprovoked,DOMINICAN REPUBLIC,,Boca Chica,swimming,FATAL,06:00 - 08:59
903,2010.0,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,swimming,Torso and left buttock bitten,12:00 - 14:59
905,2010.0,Unprovoked,USA,Oregon,Florence,surfing,No injury to surfer,15:00 - 17:59
907,2010.0,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",swimming,"No injury to diver, shark bit his video camera",12:00 - 14:59
909,2010.0,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",surfing,FATAL,06:00 - 08:59
911,2010.0,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,surfing,Foot bitten,12:00 - 14:59
913,2010.0,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,surfing,Bitten between left ankle & knee,15:00 - 17:59
914,2010.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",surfing,3 lacerations to foot,12:00 - 14:59
915,2010.0,Unprovoked,USA,Oregon,Winchester Bay,surfing,"No injury, surfboard rammed",15:00 - 17:59
916,2010.0,Unprovoked,USA,Virginia,Sandridge Beach,surfing,Bite to left ankle and knee,15:00 - 17:59
918,2010.0,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,surfing,Lacerations and puncture wounds to leg and foot,15:00 - 17:59
922,2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to right  hand ,12:00 - 14:59
923,2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Left thigh bitten,09:00 - 11:59
926,2010.0,Unprovoked,USA,Florida,Crescent Beach St. Johns County,surfing,Minor injuries to foot,09:00 - 11:59
927,2010.0,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,surfing,FATAL,06:00 - 08:59
930,2010.0,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,swimming,Lacerations to left lower leg,15:00 - 17:59
931,2010.0,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,surfing,Left foot bitten,06:00 - 08:59
932,2010.0,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",surfing,Left foot bitten,15:00 - 17:59
936,2010.0,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",playing,Lacerations to forearm,09:00 - 11:59
938,2010.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",surfing,Left foot bitten,15:00 - 17:59
939,2010.0,Unprovoked,USA,South Carolina,Myrtle Beach,swimming,Minor lacerations to left calf,09:00 - 11:59
940,2010.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",swimming,Lacerations to right forearm,12:00 - 14:59
947,2010.0,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",surfing,Laceration to left foot,18:00 - 20:59
948,2010.0,Unprovoked,USA,California,"Dog Patch, San Onofre",surfing,"No injury, board bumped by shark",15:00 - 17:59
951,2010.0,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",swimming,Laceration to left foot,12:00 - 14:59
952,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,swimming,Laceration to left foot,15:00 - 17:59
953,2010.0,Unprovoked,USA,Florida,Jacksonville,surfing,Lacerations to left calf and foot,12:00 - 14:59
954,2010.0,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",surfing,Severe laceration to right knee,12:00 - 14:59
958,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,swimming,Severe lacerations to left foot,18:00 - 20:59
959,2010.0,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,surfing,Superficial lacerations to lower left leg,15:00 - 17:59
960,2010.0,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",swimming,Lacerations to arm & chest,09:00 - 11:59
961,2010.0,Unprovoked,USA,Florida,New Smyrna Beach,playing,Minor puncture wounds to right ankle,09:00 - 11:59
963,2010.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",surfing,"No injury, surfboard bitten",15:00 - 17:59
964,2010.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",surfing,Both feet bitten,09:00 - 11:59
965,2010.0,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,swimming,Lacerations to left ankle and foot,12:00 - 14:59
966,2010.0,Unprovoked,REUNION,Saint-Benoit,Bittern,surfing,"No injury, board bitten",09:00 - 11:59
967,2010.0,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,swimming,Bruised but otherwise unhurt,21:00 - 23:59
968,2010.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,surfing,Lacerations to right leg,09:00 - 11:59
969,2010.0,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,swimming,FATAL,09:00 - 11:59
970,2010.0,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",swimming,Lacerations to legs & buttocks,12:00 - 14:59
971,2010.0,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",surfing,"Minor injury, lacerations to left lower leg",06:00 - 08:59
973,2010.0,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,surfing,"No injury, shark & board collided",15:00 - 17:59
976,2010.0,Unprovoked,USA,Florida,"Stuart, Martin County",surfing,FATAL,15:00 - 17:59
979,2010.0,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,surfing,"No injury, surfboard bitten",15:00 - 17:59
980,2010.0,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",surfing,Laceration to bottom of foot,18:00 - 20:59
981,2010.0,Unprovoked,AUSTRALIA,Victoria,Geelong,surfing,Lacerations to right hand ,06:00 - 08:59
982,2010.0,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,playing,FATAL,15:00 - 17:59
986,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,playing,Left arm bitten twice,06:00 - 08:59
987,2010.0,Unprovoked,USA,Florida,Elliot Key,fishing,Lacerations to  arm,09:00 - 11:59
989,2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,playing,Lacerations to  left foot,06:00 - 08:59
991,2009.0,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,swimming,Multiple lacerations to right torso & arm. Defense wounds on  hands,15:00 - 17:59
993,2009.0,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,fishing,Lacerations to hand & forearm,06:00 - 08:59
997,2009.0,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,surfing,Laceration to big toe,06:00 - 08:59
1001,2009.0,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",playing,Left foot bitten,06:00 - 08:59
1002,2009.0,Unprovoked,USA,California,"Loch Lomond, Marin County",fishing,Puncture wounds and minor lacerations to dorsal surface of his left hand,15:00 - 17:59
1003,2009.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",surfing,Foot bitten,09:00 - 11:59
1004,2009.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",surfing,Foot bitten,15:00 - 17:59
1005,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Foot bitten,12:00 - 14:59
1006,2009.0,Unprovoked,AUSTRALIA,South Australia,Second Valley,boating,Ankle bitten,09:00 - 11:59
1007,2009.0,Unprovoked,USA,California,"Davenport, Santa Cruz County",surfing,"No injury, board broken in half",18:00 - 20:59
1010,2009.0,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,surfing,"No injury, shark bit rear of paddleboard",06:00 - 08:59
1011,2009.0,Unprovoked,USA,California,"San Onofre, San Diego County ",surfing,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",15:00 - 17:59
1012,2009.0,Unprovoked,USA,Hawaii,"Kalama Park, Maui",surfing,Bitten on upper right thigh & right ankle,06:00 - 08:59
1013,2009.0,Unprovoked,PANAMA,Bocas,Playa La Cabaña ,playing,Arm & torso bitten,18:00 - 20:59
1016,2009.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",surfing,Laceration to shin of left leg,09:00 - 11:59
1018,2009.0,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County",swimming,Laceration to right foot,15:00 - 17:59
1023,2009.0,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",swimming,FATAL,12:00 - 14:59
1026,2009.0,Unprovoked,USA,California,"Huntington Beach, Orange County",surfing,No injury,18:00 - 20:59
1027,2009.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,surfing,FATAL,15:00 - 17:59
1028,2009.0,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",swimming,Puncture wounds to left foot & calf,15:00 - 17:59
1030,2009.0,Unprovoked,USA,Florida,"Ponce, Volusia County",swimming,Puncture marks on left foot,18:00 - 20:59
1031,2009.0,Unprovoked,USA,Hawaii,Kawa'a ,surfing,"No injury, surfboard bitten",06:00 - 08:59
1032,2009.0,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound",fishing,Right ankle & foot bitten,09:00 - 11:59
1034,2009.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head,surfing,Left forearm grazed & puncture marks in wetsuit,06:00 - 08:59
1035,2009.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,swimming,Foot bitten,15:00 - 17:59
1037,2009.0,Unprovoked,USA,Texas,South Padre Island,playing,Lacerations to anterior left lower leg,12:00 - 14:59
1039,2009.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,swimming,Laceration to left foot,15:00 - 17:59
1040,2009.0,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",swimming,Laceration to lower right leg,15:00 - 17:59
1043,2009.0,Unprovoked,USA,California,"San Onofre, San Diego County ",surfing,"No injury, shark collided with surfer & board",06:00 - 08:59
1044,2009.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",surfing,Leg bitten,09:00 - 11:59
1045,2009.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",surfing,Right ankle bitten,15:00 - 17:59
1047,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",surfing,2-inch laceration to upper left arm,06:00 - 08:59
1053,2009.0,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,swimming,FATAL,06:00 - 08:59
1056,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to left leg & foot,09:00 - 11:59
1057,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to right foot,09:00 - 11:59
1058,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to right hand,09:00 - 11:59
1062,2009.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",surfing,No injury,09:00 - 11:59
1063,2009.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,3 puncture wounds to posterior right ankle,15:00 - 17:59
1064,2009.0,Unprovoked,PHILIPPINES,Batangas province,Mabini,swimming,Legs bitten,03:00 - 05:59
1065,2009.0,Unprovoked,USA,Florida,"Carlin Park, Jupiter Inlet",surfing,Left foot bitten,15:00 - 17:59
1066,2009.0,Unprovoked,USA,Florida,"Walton Rocks, St Lucie County",surfing,Laceration to forearm,12:00 - 14:59
1068,2009.0,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,surfing,"No injury, catapulted into the water & ski damage",06:00 - 08:59
1070,2009.0,Unprovoked,USA,California,San Diego County,fishing,Shark struck him but the diver was not injured,06:00 - 08:59
1071,2009.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",playing,Lacerations to right foot and ankle,15:00 - 17:59
1073,2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",surfing,FATAL,12:00 - 14:59
1074,2009.0,Unprovoked,AUSTRALIA,New South Wales,Blue Bay,surfing,"Laceration to right foot, puncture wounds to calf",18:00 - 20:59
1075,2009.0,Unprovoked,AUSTRALIA,New South Wales,South Broulee,surfing,"No injury, shark damaged surfboard",06:00 - 08:59
1076,2009.0,Unprovoked,AUSTRALIA,New South Wales,Bateman's Bay,surfing,"No injury, shark bit nose of surfboard",06:00 - 08:59
1077,2009.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Minor bite to ankle,15:00 - 17:59
1079,2009.0,Unprovoked,USA,Hawaii,Alenuihaha Channel,swimming,"Minor injury, bite chest and left calf",18:00 - 20:59
1081,2009.0,Unprovoked,NEW CALEDONIA,South Province,Bourail,surfing,FATAL,09:00 - 11:59
1084,2009.0,Unprovoked,AUSTRALIA,New South Wales,Avalon,surfing,Lacerations to leg,06:00 - 08:59
1085,2009.0,Unprovoked,AUSTRALIA,Queensland,Batt Reef,fishing,Severe laceration to finger,09:00 - 11:59
1086,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",surfing,"No injury to surfer, but the nose of his board was broken",15:00 - 17:59
1087,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",surfing,Severe injury to hand ,18:00 - 20:59
1090,2009.0,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,surfing,"No injury, surfboard dented",09:00 - 11:59
1091,2009.0,Unprovoked,AUSTRALIA,New South Wales,Sandon,surfing,"No injury, flung from surfboard by the shark",06:00 - 08:59
1094,2009.0,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay,fishing,Severe lacerations to lower left leg,09:00 - 11:59
1096,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",swimming,Hand injured,15:00 - 17:59
1097,2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",swimming,FATAL,12:00 - 14:59
1102,2009.0,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",swimming,Puncture wounds to right calf,09:00 - 11:59
1103,2009.0,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,surfing,Severe lacerations to right leg,15:00 - 17:59
1104,2009.0,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,surfing,Left thigh severely bitten,09:00 - 11:59
1107,2009.0,Unprovoked,NEW ZEALAND,North Island,Haumoana ,swimming,Posterior thigh bitten,15:00 - 17:59
1113,2008.0,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,swimming,FATAL,06:00 - 08:59
1119,2008.0,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,swimming,Lacerations to fingers,06:00 - 08:59
1124,2008.0,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",fishing,Torso & righ arm bitten FATAL,09:00 - 11:59
1128,2008.0,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,surfing,"No injury, board damaged",15:00 - 17:59
1129,2008.0,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",fishing,Lacerations,12:00 - 14:59
1130,2008.0,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",fishing,Calf bitten,12:00 - 14:59
1131,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Small puncture wounds to the heel of left foot,09:00 - 11:59
1132,2008.0,Unprovoked,USA,Florida,Bethune Beach,surfing,Right foot bitten,09:00 - 11:59
1134,2008.0,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",swimming,Lacerations to foot,12:00 - 14:59
1135,2008.0,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",surfing,Bitten on right thigh & calf,15:00 - 17:59
1136,2008.0,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",surfing,"No injury to surfer, board bitten",09:00 - 11:59
1137,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",surfing,Shark became tangled in his surfboard leash. The surfer was not injured,12:00 - 14:59
1138,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Minor injury to foot,12:00 - 14:59
1139,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,Minor injury to foot,12:00 - 14:59
1140,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Shark bumped right ankle,09:00 - 11:59
1141,2008.0,Unprovoked,USA,Florida,Hutchinson Island,surfing,Right hand bitten,06:00 - 08:59
1145,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Superfical cut to left ankle,12:00 - 14:59
1146,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Lacerations to lower left leg,09:00 - 11:59
1147,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor injury to left foot,15:00 - 17:59
1149,2008.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",swimming,3 lacerations to forearm,12:00 - 14:59
1151,2008.0,Unprovoked,USA,US Virgin Islands,Buck Island,swimming,Severe lacerations to left foot,18:00 - 20:59
1152,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Puncture wounds & 3-inch laceration to right calf,12:00 - 14:59
1153,2008.0,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",swimming,"No injury, shark grabbed his bag of fish",12:00 - 14:59
1154,2008.0,Unprovoked,AUSTRALIA,Victoria,Levys Beach,surfing,"No injury, surfboard leash severed",09:00 - 11:59
1156,2008.0,Unprovoked,PANAMA,San Carlos,Playa Teta,surfing,5 lacerations to left foot,18:00 - 20:59
1158,2008.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",swimming,Minor injury,15:00 - 17:59
1159,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Right foot bitten,09:00 - 11:59
1160,2008.0,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",swimming,Forearm bitten ,06:00 - 08:59
1162,2008.0,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",playing,Lacerations to dorsum of right foot ,12:00 - 14:59
1164,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,Lacerations to lower left leg,12:00 - 14:59
1167,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",surfing,Laceration to foream,12:00 - 14:59
1168,2008.0,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",swimming,Lacerations to  right foot,18:00 - 20:59
1173,2008.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,surfing,"No injury, ski bitten",12:00 - 14:59
1175,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Minor laceration to foot,12:00 - 14:59
1176,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",swimming,Lacerations to hand,09:00 - 11:59
1177,2008.0,Unprovoked,BRAZIL,Bahia,Guarajuba,surfing,"No injury, board bitten",06:00 - 08:59
1179,2008.0,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",playing,Lacerations to lower right calf,09:00 - 11:59
1183,2008.0,Unprovoked,USA,South Carolina,Cherry Grove,surfing,Foot bitten,18:00 - 20:59
1184,2008.0,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",swimming,"Hand severed, buttocks bitten",15:00 - 17:59
1185,2008.0,Unprovoked,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",surfing,Biceps & lower arm bitten,15:00 - 17:59
1187,2008.0,Unprovoked,MEXICO,Guerro,Playa Linda,surfing,Lacerations to right forearm and hand,06:00 - 08:59
1189,2008.0,Unprovoked,FIJI,Yasawa Islands,Turtle Island,swimming,FATAL,21:00 - 23:59
1190,2008.0,Unprovoked,AUSTRALIA,Western Australia,Albany,swimming,Severe lacerations to left leg,06:00 - 08:59
1191,2008.0,Unprovoked,NEW CALEDONIA,North Province,Hienghène,fishing,Lower legs bitten,12:00 - 14:59
1192,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",playing,2 inch laceration to left lower calf.,09:00 - 11:59
1194,2008.0,Unprovoked,MEXICO,Guerro,Troncones Beach,surfing,FATAL    Severe bite to right thigh,12:00 - 14:59
1195,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,3-inch laceration to dorsal surface of left foot,09:00 - 11:59
1196,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Calf bitten,09:00 - 11:59
1197,2008.0,Unprovoked,NEW CALEDONIA,North Province,Poindimié,swimming,Lacerations to left foot,06:00 - 08:59
1199,2008.0,Unprovoked,USA,California,"Solana Beach, San Diego County",swimming,FATAL,06:00 - 08:59
1200,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Cuts & punctures to right foot,06:00 - 08:59
1205,2008.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",surfing,Puncture wounds to right foot,15:00 - 17:59
1209,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",surfing,FATAL,06:00 - 08:59
1210,2008.0,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",surfing,Right foot & ankle bitten,12:00 - 14:59
1212,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",surfing,Foot bitten,18:00 - 20:59
1214,2008.0,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",surfing,Three small lacerations/ punctures to right foot,09:00 - 11:59
1215,2008.0,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",playing,Two 3-inch lacerations to right ankle,15:00 - 17:59
1217,2008.0,Unprovoked,USA,California," Huntington Beach, Orange County",surfing,"No injury to surfer, surfboard bitten by the shark",06:00 - 08:59
1218,2008.0,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",swimming,"Leg bitten, FATAL",09:00 - 11:59
1220,2008.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,Lacerations to foot,15:00 - 17:59
1233,2007.0,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,surfing,Severe lacerations to right buttock,09:00 - 11:59
1240,2007.0,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",surfing,"No injury, teethmarks in board & torn wetsuit",12:00 - 14:59
1241,2007.0,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,surfing,Lacerations to feet,15:00 - 17:59
1242,2007.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,Cut to right knee,09:00 - 11:59
1243,2007.0,Unprovoked,USA,Florida,"Round Island Park, Indian River County",surfing,Lacerations to right leg,09:00 - 11:59
1244,2007.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,surfing,Lacerations to thigh,06:00 - 08:59
1246,2007.0,Unprovoked,USA,Hawaii,"Wailea, Maui",swimming,Lacerations to left lower leg,15:00 - 17:59
1247,2007.0,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,surfing,small laceration to wrist,09:00 - 11:59
1248,2007.0,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,fishing,Laceration to calf,12:00 - 14:59
1249,2007.0,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",surfing,4 scratches on left hand,18:00 - 20:59
1250,2007.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",surfing,Severe lacerations to right hand,06:00 - 08:59
1251,2007.0,Unprovoked,USA,California,"Santa Monica, Los Angeles County",surfing,Puncture wound to foot,09:00 - 11:59
